texto,etiqueta,variante_limpia,instrumento_rol,notas,mismo_que
Agrupación Coral Santanderina,AGRUPACION,Agrupación Coral Santanderina,,,
Agrupación Filarmónica de Mataró,AGRUPACION,Agrupación Filarmónica de Mataró,,,
banda Creatone,AGRUPACION,banda Creatone,,,Banda Creatore
Banda Creatore,AGRUPACION,Banda Creatore,,,
Banda de Alabarderos,AGRUPACION,Banda de Alabarderos,,,
Banda Martinense,AGRUPACION,Banda Martinense,,,
Banda Municipa' de Madrid,AGRUPACION,Banda Municipa' de Madrid,,,
Banda Municipal,AGRUPACION,Banda Municipal,,,
Banda Municipal de Barcelona,AGRUPACION,Banda Municipal de Barcelona,,,
Banda Municipal de Madrid,AGRUPACION,Banda Municipal de Madrid,,,
Banda Nacional,AGRUPACION,Banda Nacional,,,
Banda Nacional Republicana,AGRUPACION,Banda Nacional Republicana,,,
Banda Naval de los Estados Unidos,AGRUPACION,Banda Naval de los Estados Unidos,,,
Banda Primitiva de Liria,AGRUPACION,Banda Primitiva de Liria,,,
Banda Republicana,AGRUPACION,Banda Republicana,,,
Banda Unión Musical de Liria,AGRUPACION,Banda Unión Musical de Liria,,,
Cobla Barcelona,AGRUPACION,Cobla Barcelona,,,
Coral Mierense,AGRUPACION,Coral Mierense,,,
Coral Vallisoletana,AGRUPACION,Coral Vallisoletana,,,
Coral Zamorana,AGRUPACION,Coral Zamorana,,,
Coro de Cosacos del Kuban,AGRUPACION,Coro de Cosacos del Kuban,,,
Coro Gayoso,AGRUPACION,Coro Gayoso,,,
Coro Masculino de Zúrich,AGRUPACION,Coro Masculino de Zúrich,,,
Coro Nacional Ruso,AGRUPACION,Coro Nacional Ruso,,,
Coro Platoff,AGRUPACION,Coro Platoff,,,
Coro Polifónico,AGRUPACION,Coro Polifónico,,,
Coros de la Opera Rusa,AGRUPACION,Coros de la Opera Rusa,,,
Coros Montañeses,AGRUPACION,Coros Montañeses,,,
Cuarteto Gonzaloy,AGRUPACION,Cuarteto Gonzaloy,,,
Cuarteto Iberia,AGRUPACION,Cuarteto Iberia,Guitarra,,
Cuarteto Rafael,AGRUPACION,Cuarteto Rafael,,,
Filarmónica de Madrid,AGRUPACION,Filarmónica de Madrid,,,
Gran Orquesta Sinfónica de París,AGRUPACION,Gran Orquesta Sinfónica de París,,,
Masa Coral,AGRUPACION,Masa Coral,,,
Masa Coral Madrid,AGRUPACION,Masa Coral Madrid,,,
Masa Coral Montañesa,AGRUPACION,Masa Coral Montañesa,,,
Masa Coral Vallisoletana,AGRUPACION,Masa Coral Vallisoletana,,,
Orfeón Atlántida,AGRUPACION,Orfeón Atlántida,,,
Orfeón Catalán,AGRUPACION,Orfeón Catalán,,,
Orfeón de Mieres,AGRUPACION,Orfeón de Mieres,,,
Orfeón Donostiarra,AGRUPACION,Orfeón Donostiarra,,,
Orfeón Gracense,AGRUPACION,Orfeón Gracense,,,Orfeón Gracienc
Orfeón Gracienc,AGRUPACION,Orfeón Gracienc,,,
Orfeón Graciene,AGRUPACION,Orfeón Graciene,,,Orfeón Gracienc
Orfeón Juvenil,AGRUPACION,Orfeón Juvenil,,,
Orfeón Montserrat del Centro Moral,AGRUPACION,Orfeón Montserrat del Centro Moral,,,
Orfeón Ovetense,AGRUPACION,Orfeón Ovetense,,,
Orfeón Pamplonés,AGRUPACION,Orfeón Pamplonés,,,
Orfeón Renaixement,AGRUPACION,Orfeón Renaixement,,,
Orfeón Zaragozano,AGRUPACION,Orfeón Zaragozano,,,
Orquesta Clásica,AGRUPACION,Orquesta Clásica,,,
Orquesta Clásica de Madrid,AGRUPACION,Orquesta Clásica de Madrid,,,
Orquesta de 30 profesores,AGRUPACION,Orquesta de 30 profesores,,,
orquesta de Alicante,AGRUPACION,orquesta de Alicante,,,
Orquesta de Cámara,AGRUPACION,Orquesta de Cámara,,,
Orquesta de Cámara de Boston,AGRUPACION,Orquesta de Cámara de Boston,,,
orquesta de la Estación,AGRUPACION,orquesta de la Estación,,,
Orquesta de Londres,AGRUPACION,Orquesta de Londres,,,
Orquesta de Madrid,AGRUPACION,Orquesta de Madrid,,,
Orquesta de París,AGRUPACION,Orquesta de París,,,
orquesta de Radio Barcelona,AGRUPACION,orquesta de Radio Barcelona,,,
Orquesta de Unión,AGRUPACION,Orquesta de Unión,,,
orquesta de Unión Radio,AGRUPACION,orquesta de Unión Radio,,,Orquesta de Unión Radio
Orquesta de Unión Radio,AGRUPACION,Orquesta de Unión Radio,,,
Orquesta del Palacio de la Música,AGRUPACION,Orquesta del Palacio de la Música,,,
Orquesta Falcón,AGRUPACION,Orquesta Falcón,,,
Orquesta Filarmónica,AGRUPACION,Orquesta Filarmónica,,,Orquesta Filarmónica de Madrid
Orquesta Filarmónica de Berlin,AGRUPACION,Orquesta Filarmónica de Berlin,,,Orquesta Filarmónica de Berlín
Orquesta Filarmónica de Berlín,AGRUPACION,Orquesta Filarmónica de Berlín,,,
Orquesta Filarmónica de Londres,AGRUPACION,Orquesta Filarmónica de Londres,,,
Orquesta Filarmónica de Madrid,AGRUPACION,Orquesta Filarmónica de Madrid,,,
Orquesta Filarmónica de Praga,AGRUPACION,Orquesta Filarmónica de Praga,,,
Orquesta Filarmónica de Viena,AGRUPACION,Orquesta Filarmónica de Viena,,,
Orquesta Ibérica,AGRUPACION,Orquesta Ibérica,,,
Orquesta Nacional,AGRUPACION,Orquesta Nacional,,,
Orquesta Nacional de Gales,AGRUPACION,Orquesta Nacional de Gales,,,
Orquesta Nacional de Música,AGRUPACION,Orquesta Nacional de Música,,,
orquesta Sevilla,AGRUPACION,orquesta Sevilla,,,
Orquesta Sinfónica,AGRUPACION,Orquesta Sinfónica,,,
Orquesta Sinfónica de Madrid,AGRUPACION,Orquesta Sinfónica de Madrid,,,
Orquestina Demon's Jazz,AGRUPACION,Orquestina Demon's Jazz,,,
Orquestina Sevilla,AGRUPACION,Orquestina Sevilla,,,
Quinteto Hispania,AGRUPACION,Quinteto Hispania,,,
quinteto Radio,AGRUPACION,quinteto Radio,,,Quinteto Radio
Quinteto Radio,AGRUPACION,Quinteto Radio,,,
Sexteto Albéniz,AGRUPACION,Sexteto Albéniz,,,
SEXTETO DE UNION RADIO,AGRUPACION,SEXTETO DE UNION RADIO,,,
sexteto Radio,AGRUPACION,sexteto Radio,,,SEXTETO DE UNION RADIO
Sociedad Filarmónica de Madrid,AGRUPACION,Sociedad Filarmónica de Madrid,,,
Trio Iberia,AGRUPACION,Trio Iberia,,,Trío Iberia
Trio Santorini,AGRUPACION,Trio Santorini,,,
Trio Wireless,AGRUPACION,Trio Wireless,,,
Trío Anaya,AGRUPACION,Trío Anaya,,,
Trío Hispalense,AGRUPACION,Trío Hispalense,,,
Trío Hispania,AGRUPACION,Trío Hispania,,,
Trío Iberia,AGRUPACION,Trío Iberia,,,
Trío Pasquier,AGRUPACION,Trío Pasquier,,,
Ada Schwars,CANTANTE,Ada Schwars,,,
Adelheid Wollgarten,CANTANTE,Adelheid Wollgarten,,,
Agustin Laguilhoat,CANTANTE,Agustin Laguilhoat,,,
Ainsa,CANTANTE,Ainsa,,,
Alberto Ocaña,CANTANTE,Alberto Ocaña,,,
Amalia Pardo,CANTANTE,Amalia Pardo,,,
Ameliz Vázquez,CANTANTE,Ameliz Vázquez,,,
Ana Lasalle,CANTANTE,Ana Lasalle,,,
Ana Roswell,CANTANTE,Ana Roswell,,,
Angelillo,CANTANTE,Angelillo,,,
Anibal Vela,CANTANTE,Anibal Vela,,,
Anny Konetzni,CANTANTE,Anny Konetzni,,,
Antonia Floralda,CANTANTE,Antonia Floralda,,,
Antonio Cortis,CANTANTE,Antonio Cortis,,,
Antonio Miras,CANTANTE,Antonio Miras,,,
Antonio Picatoste,CANTANTE,Antonio Picatoste,,,
Arazola,CANTANTE,Arazola,,,
Asunción Camps,CANTANTE,Asunción Camps,,,
Aurora Redondo,CANTANTE,Aurora Redondo,,,
Balta,CANTANTE,Balta,,,
Basilio Torres Calvo,CANTANTE,Basilio Torres Calvo,,,
Bathman,CANTANTE,Bathman,,,
Benetti,CANTANTE,Benetti,,,
Benito Toral,CANTANTE,Benito Toral,,,
Bessinger y Heite,CANTANTE,Bessinger y Heite,,,
Bianca Serena,CANTANTE,Bianca Serena,contralto,,
Blanca Pereira,CANTANTE,Blanca Pereira,,,
Blanca Suárez,CANTANTE,Blanca Suárez,,,
Blas Lledó,CANTANTE,Blas Lledó,barítono,,
Cabasés,CANTANTE,Cabasés,tenor,,
Caridad Calderón,CANTANTE,Caridad Calderón,,,
Caridad Castellón,CANTANTE,Caridad Castellón,,,
Carlos del Pozo,CANTANTE,Carlos del Pozo,,,
Carlos Puchol,CANTANTE,Carlos Puchol,,,
Carmen Amaya,CANTANTE,Carmen Amaya,,,
Carmen Andújar,CANTANTE,Carmen Andújar,,,
